"# of Use","使用次数"
"%1$s incl tax.","%1$s 含杂费。"
"%s - %s","%s - %s"
"%s Item(s)","%s件产品"
"Update Tier Price","更新分层价格"
"Update assigned product","更新指定产品"
"Update attributes","更新属性"
"Update category","更新分类"
"Update product","更新产品"
"Update product image","更新产品图片"
"Update product link","更新产品连接"
"Update product tier prices","更新产品分级价格"
"Upload new product image ","上传新的产品图片 "
"Url Rewrite Management","网址重写"
"Use Canonical Link Meta Tag For Categories","为分类使用标准连接元标签"
"Use Canonical Link Meta Tag For Products","为产品使用标准连接元标签"
"Use Categories Path for Product URLs","使用分类路径作为产品 URLs"
"Use Config Settings","使用设置值"
"Use Default Value","使用缺省值"
"Use Flat Catalog Category","使用平面目录分类"
"Use Flat Catalog Product","使用平面产品上当"
"Use In Layered Navigation","用于分层导航"
"Use In Search Results Layered Navigation","用于分层导航搜索结果"
"Use JavaScript Calendar","使用 JavaScript 日历"
"Use Static URLs for Media Content in WYSIWYG for Catalog","在产品目录媒体内容的所见即所得编辑器使用静态URL"
"Use To Create Configurable Product","用于创建可配置产品"
"Use Tree Like Category Sitemap","使用树状分类网站图"
"Use config","使用设置"
"Use default","使用默认"
"Use for Promo Rule Conditions","Use for Promo Rule Conditions"
"Use four-digit year format.","Use four-digit year format."
"Use in Advanced Search","用于高级搜索"
"Use in Layered Navigation","用于分层导航"
"Use in Layered Navigation<br/>(Can be used only with catalog input type 'Dropdown')","用于分级导航<br/>(仅用于目录输入类型'下拉菜单')"
"Use in Quick Search","用于快速搜索"
"Used for Sorting in Product Listing","用作产品列表排序"
"Used in Product Listing","用在产品列表中"
"Value for ""%s"" is invalid."," ""%s"" 的值不正确。"
"Value for ""%s"" is invalid: %s"," ""%s"" 的值不正确： %s"
"Varchar","变量"
"View as","查看"
"Virtual Product","虚拟产品"
"Visibility","可见性"
"Visible","可见"
"Visible on Catalog Pages on Front-end","在前台目录页面可见"
"Visible on Product View Page on Front-end","前台产品页可见"
"WYSIWYG Editor","所见即所得编辑器"
"Watermark","水印"
"Watermark Default Size","水印缺省大小"
"Watermark Opacity, Percent","水印透明度百分比"
"Watermark Position","水印位置"
"We Also Recommend","我们同时推荐"
"Website","网站"
"Websites","网站"
"Whether to show ""All"" option in the ""Show X Per Page"" dropdown.","是否显示全部中的显示每页X的下拉选项。"
"Wrong BuyRequest instance in options group.","选项组中错误的购买请求例子。"
"Wrong configuration item instance in options group.","选项组中错误的配置条目实例。"
"Wrong configuration item option instance in options group.","选项组中错误的配置条目选项实例。"
"Wrong option instance type in options group.","选项组中错误的事例类型。"
"Wrong option type to get group instance.","用错误的选项类型获取组实例。"
"Wrong product instance type in options group.","选项组中错误的产品实例。"
"Wrong product type filter specified","指定错误的产品类型过滤"
"Wrong product type to extract configurable options.","用错误的产品类型释放设置选项。"
"Year Range","年时间范围"
"Yes","是"
"You cannot email this product to a friend.","你不能将此产品发送给朋友。"
"You cannot remove system attribute from this set.","不能从此组合中删除系统属性。"
"You cannot send more than %d emails at a time.","您不能一次发达超过 %d 封邮件。"
"You have exceeded limit of %d sends in an hour.","您在一小时内超过了 %d 的发送限制。"
"You have no items to compare.","没有要比较的产品。"
"You have to specify at least one recipient.","您须指定至少一个收件人。"
"You may also be interested in the following product(s)","您也许会喜欢下面的产品"
"Zoom In","放大"
"Zoom Out","缩小"
"[GLOBAL]","[全站]"
"and","和"
"categories","分类"
"each","每个"
"ex. http://domain.com","例如 http://www.Magentochina.org"
"leave blank if its not an image","如果不是图片请留空"
"per page","每页"
"products","产品"
"px.","像素."
"save","优惠"
"select all","全选"
"unselect all","取消全选"
"x","x"
